UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_r	tib_ant_r
    111.00000000	      2.22000000	      0.03812570	      0.07647116
    112.00000000	      2.24000000	      0.03524507	      0.07989689
    113.00000000	      2.26000000	      0.03254635	      0.08315670
    114.00000000	      2.28000000	      0.03011114	      0.08618252
    115.00000000	      2.30000000	      0.02800536	      0.08891874
    116.00000000	      2.32000000	      0.02626991	      0.09132275
    117.00000000	      2.34000000	      0.02491412	      0.09336439
    118.00000000	      2.36000000	      0.02391599	      0.09502437
    119.00000000	      2.38000000	      0.02323779	      0.09629192
    120.00000000	      2.40000000	      0.02282375	      0.09716214
    121.00000000	      2.42000000	      0.02261799	      0.09763352
    122.00000000	      2.44000000	      0.02258757	      0.09770590
    123.00000000	      2.46000000	      0.02272731	      0.09737930
    124.00000000	      2.48000000	      0.02306037	      0.09665372
    125.00000000	      2.50000000	      0.02363515	      0.09553000
    126.00000000	      2.52000000	      0.02451262	      0.09401152
    127.00000000	      2.54000000	      0.02573463	      0.09210663
    128.00000000	      2.56000000	      0.02733167	      0.08983123
    129.00000000	      2.58000000	      0.02930624	      0.08721130
    130.00000000	      2.60000000	      0.03162842	      0.08428481
    131.00000000	      2.62000000	      0.03424035	      0.08110266
    132.00000000	      2.64000000	      0.03706502	      0.07772855
    133.00000000	      2.66000000	      0.04001538	      0.07423753
    134.00000000	      2.68000000	      0.04300118	      0.07071340
    135.00000000	      2.70000000	      0.04593370	      0.06724510
    136.00000000	      2.72000000	      0.04872921	      0.06392223
    137.00000000	      2.74000000	      0.05130720	      0.06083017
    138.00000000	      2.76000000	      0.05358594	      0.05804520
    139.00000000	      2.78000000	      0.05553480	      0.05563023
    140.00000000	      2.80000000	      0.05712467	      0.05363222
    141.00000000	      2.82000000	      0.05834259	      0.05208171
    142.00000000	      2.84000000	      0.05918715	      0.05099515
    143.00000000	      2.86000000	      0.05966259	      0.05037906
    144.00000000	      2.88000000	      0.05977345	      0.05023493
    145.00000000	      2.90000000	      0.05952101	      0.05056287
    146.00000000	      2.92000000	      0.05890246	      0.05136251
    147.00000000	      2.94000000	      0.05791285	      0.05263093
    148.00000000	      2.96000000	      0.05654942	      0.05435834
    149.00000000	      2.98000000	      0.05481742	      0.05652322
    150.00000000	      3.00000000	      0.05273567	      0.05908875
    151.00000000	      3.02000000	      0.05034022	      0.06200160
    152.00000000	      3.04000000	      0.04766202	      0.06519320
