UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	knee_angle_l	med_gas_l	soleus_l	tib_ant_l
      0.00000000	   -119.99999986	      0.05738460	      0.04517987	      0.06875863
      1.00000000	   -118.68686855	      0.05755593	      0.04517987	      0.06875863
      2.00000000	   -117.37373723	      0.05773096	      0.04517987	      0.06875863
      3.00000000	   -116.06060592	      0.05790984	      0.04517987	      0.06875863
      4.00000000	   -114.74747460	      0.05809271	      0.04517987	      0.06875863
      5.00000000	   -113.43434329	      0.05827971	      0.04517987	      0.06875863
      6.00000000	   -112.12121198	      0.05847093	      0.04517987	      0.06875863
      7.00000000	   -110.80808066	      0.05866650	      0.04517987	      0.06875863
      8.00000000	   -109.49494935	      0.05886650	      0.04517987	      0.06875863
      9.00000000	   -108.18181803	      0.05907101	      0.04517987	      0.06875863
     10.00000000	   -106.86868672	      0.05928010	      0.04517987	      0.06875863
     11.00000000	   -105.55555540	      0.05949384	      0.04517987	      0.06875863
     12.00000000	   -104.24242409	      0.05971227	      0.04517987	      0.06875863
     13.00000000	   -102.92929277	      0.05993543	      0.04517987	      0.06875863
     14.00000000	   -101.61616146	      0.06016335	      0.04517987	      0.06875863
     15.00000000	   -100.30303015	      0.06039605	      0.04517987	      0.06875863
     16.00000000	    -98.98989883	      0.06063353	      0.04517987	      0.06875863
     17.00000000	    -97.67676752	      0.06087579	      0.04517987	      0.06875863
     18.00000000	    -96.36363620	      0.06112280	      0.04517987	      0.06875863
     19.00000000	    -95.05050489	      0.06137451	      0.04517987	      0.06875863
     20.00000000	    -93.73737357	      0.06163089	      0.04517987	      0.06875863
     21.00000000	    -92.42424226	      0.06189187	      0.04517987	      0.06875863
     22.00000000	    -91.11111094	      0.06215739	      0.04517987	      0.06875863
     23.00000000	    -89.79797963	      0.06242739	      0.04517987	      0.06875863
     24.00000000	    -88.48484831	      0.06270179	      0.04517987	      0.06875863
     25.00000000	    -87.17171700	      0.06298050	      0.04517987	      0.06875863
     26.00000000	    -85.85858569	      0.06326344	      0.04517987	      0.06875863
     27.00000000	    -84.54545437	      0.06355051	      0.04517987	      0.06875863
     28.00000000	    -83.23232306	      0.06384161	      0.04517987	      0.06875863
     29.00000000	    -81.91919174	      0.06413664	      0.04517987	      0.06875863
     30.00000000	    -80.60606043	      0.06443549	      0.04517987	      0.06875863
     31.00000000	    -79.29292911	      0.06473805	      0.04517987	      0.06875863
     32.00000000	    -77.97979780	      0.06504427	      0.04517987	      0.06875863
     33.00000000	    -76.66666648	      0.06535412	      0.04517987	      0.06875863
     34.00000000	    -75.35353517	      0.06566759	      0.04517987	      0.06875863
     35.00000000	    -74.04040385	      0.06598466	      0.04517987	      0.06875863
     36.00000000	    -72.72727254	      0.06630531	      0.04517987	      0.06875863
     37.00000000	    -71.41414123	      0.06662949	      0.04517987	      0.06875863
     38.00000000	    -70.10100991	      0.06695719	      0.04517987	      0.06875863
     39.00000000	    -68.78787860	      0.06728835	      0.04517987	      0.06875863
     40.00000000	    -67.47474728	      0.06762293	      0.04517987	      0.06875863
     41.00000000	    -66.16161597	      0.06796089	      0.04517987	      0.06875863
     42.00000000	    -64.84848465	      0.06830217	      0.04517987	      0.06875863
     43.00000000	    -63.53535334	      0.06864670	      0.04517987	      0.06875863
     44.00000000	    -62.22222202	      0.06899442	      0.04517987	      0.06875863
     45.00000000	    -60.90909071	      0.06934526	      0.04517987	      0.06875863
     46.00000000	    -59.59595939	      0.06969913	      0.04517987	      0.06875863
     47.00000000	    -58.28282808	      0.07005581	      0.04517987	      0.06875863
     48.00000000	    -56.96969677	      0.07041484	      0.04517987	      0.06875863
     49.00000000	    -55.65656545	      0.07077576	      0.04517987	      0.06875863
