UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	ankle_angle_l	med_gas_l	soleus_l	tib_ant_l
     76.00000000	     32.12121208	      0.08148977	      0.05941380	      0.05167369
     77.00000000	     33.33333330	      0.08214322	      0.06003750	      0.05085691
     78.00000000	     34.54545451	      0.08278564	      0.06064839	      0.05004854
     79.00000000	     35.75757572	      0.08341672	      0.06124594	      0.04924943
     80.00000000	     36.96969693	      0.08403612	      0.06182965	      0.04846048
     81.00000000	     38.18181814	      0.08464353	      0.06239904	      0.04768265
     82.00000000	     39.39393935	      0.08523863	      0.06295367	      0.04691696
     83.00000000	     40.60606056	      0.08582111	      0.06349314	      0.04616449
     84.00000000	     41.81818177	      0.08639067	      0.06401705	      0.04542639
     85.00000000	     43.03030298	      0.08694700	      0.06452507	      0.04470387
     86.00000000	     44.24242419	      0.08748981	      0.06501689	      0.04399823
     87.00000000	     45.45454540	      0.08801881	      0.06549225	      0.04331081
     88.00000000	     46.66666661	      0.08853371	      0.06595091	      0.04264306
     89.00000000	     47.87878782	      0.08903425	      0.06639269	      0.04199646
     90.00000000	     49.09090903	      0.08952015	      0.06681742	      0.04137258
     91.00000000	     50.30303025	      0.08999115	      0.06722499	      0.04077305
     92.00000000	     51.51515146	      0.09044306	      0.06761530	      0.04019956
     93.00000000	     52.72727267	      0.09087948	      0.06798828	      0.03965384
     94.00000000	     53.93939388	      0.09130025	      0.06834392	      0.03913765
     95.00000000	     55.15151509	      0.09170516	      0.06868221	      0.03865279
     96.00000000	     56.36363630	      0.09209399	      0.06900316	      0.03820105
     97.00000000	     57.57575751	      0.09246655	      0.06930680	      0.03778421
     98.00000000	     58.78787872	      0.09282265	      0.06959321	      0.03740402
     99.00000000	     59.99999993	      0.09316209	      0.06986244	      0.03706216
