UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	ankle_angle_l	med_gas_l	soleus_l	tib_ant_l
     76.00000000	     48.18181828	      0.10223169	      0.06650048	      0.04183829
     77.00000000	     50.00000010	      0.10297970	      0.06712471	      0.04092056
     78.00000000	     51.81818192	      0.10369171	      0.06771017	      0.04006046
     79.00000000	     53.63636375	      0.10436695	      0.06825664	      0.03926383
     80.00000000	     55.45454557	      0.10500471	      0.06876407	      0.03853668
     81.00000000	     57.27272739	      0.10560436	      0.06923251	      0.03788505
     82.00000000	     59.09090921	      0.10616527	      0.06966212	      0.03731490
     83.00000000	     60.90909103	      0.10668692	      0.07005314	      0.03683187
     84.00000000	     62.72727286	      0.10716880	      0.07040585	      0.03644110
     85.00000000	     64.54545468	      0.10761048	      0.07072059	      0.03614704
     86.00000000	     66.36363650	      0.10801154	      0.07099769	      0.03595318
     87.00000000	     68.18181832	      0.10837165	      0.07123750	      0.03586192
     88.00000000	     70.00000014	      0.10869050	      0.07144035	      0.03587441
     89.00000000	     71.81818196	      0.10896781	      0.07160655	      0.03599049
     90.00000000	     73.63636379	      0.10920337	      0.07173635	      0.03620870
     91.00000000	     75.45454561	      0.10939699	      0.07182997	      0.03652637
     92.00000000	     77.27272743	      0.10954852	      0.07188757	      0.03693976
     93.00000000	     79.09090925	      0.10965784	      0.07190925	      0.03744423
     94.00000000	     80.90909107	      0.10972487	      0.07189505	      0.03803450
     95.00000000	     82.72727290	      0.10974955	      0.07184494	      0.03870483
     96.00000000	     84.54545472	      0.10973187	      0.07175884	      0.03944924
     97.00000000	     86.36363654	      0.10967185	      0.07163659	      0.04026167
     98.00000000	     88.18181836	      0.10956952	      0.07147800	      0.04113616
     99.00000000	     90.00000018	      0.10942497	      0.07128281	      0.04206690
