UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	ankle_angle_l	med_gas_l	soleus_l	tib_ant_l
      0.00000000	    -59.99999993	      0.04269701	      0.02123737	      0.10917544
      1.00000000	    -58.78787872	      0.04318408	      0.02123737	      0.10867836
      2.00000000	    -57.57575751	      0.04368685	      0.02123737	      0.10817090
      3.00000000	    -56.36363630	      0.04420516	      0.02123737	      0.10765316
      4.00000000	    -55.15151509	      0.04473882	      0.02123737	      0.10712523
      5.00000000	    -53.93939388	      0.04528765	      0.02123737	      0.10658722
      6.00000000	    -52.72727267	      0.04585144	      0.02123737	      0.10603923
      7.00000000	    -51.51515146	      0.04642997	      0.02123737	      0.10548137
      8.00000000	    -50.30303025	      0.04702298	      0.02123737	      0.10491376
      9.00000000	    -49.09090903	      0.04763024	      0.02123737	      0.10433650
     10.00000000	    -47.87878782	      0.04825146	      0.02123737	      0.10374971
     11.00000000	    -46.66666661	      0.04888636	      0.02123737	      0.10315351
     12.00000000	    -45.45454540	      0.04953466	      0.02123737	      0.10254802
     13.00000000	    -44.24242419	      0.05019605	      0.02128128	      0.10193337
     14.00000000	    -43.03030298	      0.05087020	      0.02136594	      0.10130967
     15.00000000	    -41.81818177	      0.05155681	      0.02147615	      0.10067706
     16.00000000	    -40.60606056	      0.05225553	      0.02161419	      0.10003566
     17.00000000	    -39.39393935	      0.05296602	      0.02178186	      0.09938561
     18.00000000	    -38.18181814	      0.05368793	      0.02198053	      0.09872703
     19.00000000	    -36.96969693	      0.05442092	      0.02221113	      0.09806008
     20.00000000	    -35.75757572	      0.05516463	      0.02247426	      0.09738162
     21.00000000	    -34.54545451	      0.05591869	      0.02277013	      0.09669485
     22.00000000	    -33.33333330	      0.05668273	      0.02309865	      0.09600025
     23.00000000	    -32.12121208	      0.05745640	      0.02345946	      0.09529795
     24.00000000	    -30.90909087	      0.05823931	      0.02385195	      0.09458810
     25.00000000	    -29.69696966	      0.05903109	      0.02427531	      0.09387084
     26.00000000	    -28.48484845	      0.05983136	      0.02472855	      0.09314632
     27.00000000	    -27.27272724	      0.06063976	      0.02521050	      0.09241469
     28.00000000	    -26.06060603	      0.06145590	      0.02571782	      0.09167608
     29.00000000	    -24.84848482	      0.06227940	      0.02624799	      0.09093067
     30.00000000	    -23.63636361	      0.06310988	      0.02679960	      0.09017858
     31.00000000	    -22.42424240	      0.06394697	      0.02737127	      0.08941999
     32.00000000	    -21.21212119	      0.06479028	      0.02796166	      0.08865504
     33.00000000	    -19.99999998	      0.06563944	      0.02856947	      0.08788390
     34.00000000	    -18.78787877	      0.06649407	      0.02919343	      0.08710671
     35.00000000	    -17.57575756	      0.06735379	      0.02983235	      0.08632364
     36.00000000	    -16.36363634	      0.06821821	      0.03048506	      0.08553486
     37.00000000	    -15.15151513	      0.06908697	      0.03115048	      0.08474052
     38.00000000	    -13.93939392	      0.06995967	      0.03182756	      0.08394079
     39.00000000	    -12.72727271	      0.07083595	      0.03251534	      0.08313585
     40.00000000	    -11.51515150	      0.07171542	      0.03321288	      0.08232585
     41.00000000	    -10.30303029	      0.07259771	      0.03391931	      0.08151098
     42.00000000	     -9.09090908	      0.07348242	      0.03463381	      0.08069141
     43.00000000	     -7.87878787	      0.07436919	      0.03535560	      0.07986731
     44.00000000	     -6.66666666	      0.07525763	      0.03608396	      0.07903888
     45.00000000	     -5.45454545	      0.07614735	      0.03681820	      0.07820630
     46.00000000	     -4.24242424	      0.07703797	      0.03755766	      0.07736975
     47.00000000	     -3.03030303	      0.07792910	      0.03830172	      0.07652943
     48.00000000	     -1.81818182	      0.07882037	      0.03904981	      0.07568554
     49.00000000	     -0.60606061	      0.07971137	      0.03980135	      0.07483828
     50.00000000	      0.60606061	      0.08060172	      0.04055581	      0.07398786
     51.00000000	      1.81818182	      0.08149102	      0.04131266	      0.07313449
