UNKNOWN
version=1
nRows=5001
nColumns=5
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	soleus_l	tib_ant_l
      0.00000000	     39.99800000	      0.07249504	      0.04380548	      0.06976337
      1.00000000	     40.00000000	      0.07267002	      0.04373910	      0.06984180
      2.00000000	     40.00200000	      0.07284119	      0.04366518	      0.06992915
      3.00000000	     40.00400000	      0.07300831	      0.04358381	      0.07002527
      4.00000000	     40.00600000	      0.07317117	      0.04349518	      0.07012997
      5.00000000	     40.00800000	      0.07332964	      0.04339952	      0.07024297
      6.00000000	     40.01000000	      0.07348375	      0.04329711	      0.07036392
      7.00000000	     40.01200000	      0.07363369	      0.04318827	      0.07049247
      8.00000000	     40.01400000	      0.07377964	      0.04307333	      0.07062821
      9.00000000	     40.01600000	      0.07392185	      0.04295269	      0.07077065
     10.00000000	     40.01800000	      0.07406065	      0.04282679	      0.07091930
     11.00000000	     40.02000000	      0.07419613	      0.04269610	      0.07107360
     12.00000000	     40.02200000	      0.07432856	      0.04256111	      0.07123295
     13.00000000	     40.02400000	      0.07445819	      0.04242236	      0.07139673
     14.00000000	     40.02600000	      0.07458527	      0.04228040	      0.07156430
     15.00000000	     40.02800000	      0.07471013	      0.04213583	      0.07173493
     16.00000000	     40.03000000	      0.07483280	      0.04198922	      0.07190796
     17.00000000	     40.03200000	      0.07495364	      0.04184122	      0.07208262
     18.00000000	     40.03400000	      0.07507279	      0.04169246	      0.07225817
     19.00000000	     40.03600000	      0.07519042	      0.04154360	      0.07243384
     20.00000000	     40.03800000	      0.07530685	      0.04139536	      0.07260878
     21.00000000	     40.04000000	      0.07542195	      0.04124834	      0.07278227
     22.00000000	     40.04200000	      0.07553598	      0.04110327	      0.07295347
     23.00000000	     40.04400000	      0.07564908	      0.04096084	      0.07312154
     24.00000000	     40.04600000	      0.07576146	      0.04082178	      0.07328566
     25.00000000	     40.04800000	      0.07587321	      0.04068676	      0.07344501
     26.00000000	     40.05000000	      0.07598457	      0.04055652	      0.07359873
     27.00000000	     40.05200000	      0.07609583	      0.04043174	      0.07374601
     28.00000000	     40.05400000	      0.07620741	      0.04031313	      0.07388602
     29.00000000	     40.05600000	      0.07631928	      0.04020134	      0.07401797
     30.00000000	     40.05800000	      0.07643141	      0.04009704	      0.07414112
     31.00000000	     40.06000000	      0.07654391	      0.04000082	      0.07425472
     32.00000000	     40.06200000	      0.07665691	      0.03991326	      0.07435810
     33.00000000	     40.06400000	      0.07677060	      0.03983487	      0.07445066
     34.00000000	     40.06600000	      0.07688523	      0.03976612	      0.07453185
     35.00000000	     40.06800000	      0.07700099	      0.03970739	      0.07460121
     36.00000000	     40.07000000	      0.07711806	      0.03965897	      0.07465840
     37.00000000	     40.07200000	      0.07723661	      0.03962106	      0.07470317
     38.00000000	     40.07400000	      0.07735667	      0.03959376	      0.07473541
     39.00000000	     40.07600000	      0.07747829	      0.03957705	      0.07475515
     40.00000000	     40.07800000	      0.07760129	      0.03957076	      0.07476257
     41.00000000	     40.08000000	      0.07772548	      0.03957462	      0.07475802
     42.00000000	     40.08200000	      0.07785034	      0.03958815	      0.07474203
     43.00000000	     40.08400000	      0.07797536	      0.03961078	      0.07471530
     44.00000000	     40.08600000	      0.07809975	      0.03964175	      0.07467873
     45.00000000	     40.08800000	      0.07822259	      0.03968013	      0.07463340
     46.00000000	     40.09000000	      0.07834268	      0.03972484	      0.07458060
     47.00000000	     40.09200000	      0.07845870	      0.03977464	      0.07452178
     48.00000000	     40.09400000	      0.07856910	      0.03982814	      0.07445861
     49.00000000	     40.09600000	      0.07867216	      0.03988380	      0.07439289
     50.00000000	     40.09800000	      0.07876605	      0.03993998	      0.07432655
     51.00000000	     40.10000000	      0.07884869	      0.03999490	      0.07426170
     52.00000000	     40.10200000	      0.07891789	      0.04004669	      0.07420055
     53.00000000	     40.10400000	      0.07897142	      0.04009345	      0.07414535
     54.00000000	     40.10600000	      0.07900697	      0.04013323	      0.07409838
     55.00000000	     40.10800000	      0.07902221	      0.04016409	      0.07406195
     56.00000000	     40.11000000	      0.07901489	      0.04018412	      0.07403831
     57.00000000	     40.11200000	      0.07898284	      0.04019150	      0.07402959
     58.00000000	     40.11400000	      0.07892392	      0.04018452	      0.07403784
     59.00000000	     40.11600000	      0.07883624	      0.04016160	      0.07406489
     60.00000000	     40.11800000	      0.07871822	      0.04012141	      0.07411234
     61.00000000	     40.12000000	      0.07856856	      0.04006283	      0.07418150
     62.00000000	     40.12200000	      0.07838624	      0.03998502	      0.07427337
     63.00000000	     40.12400000	      0.07817068	      0.03988742	      0.07438861
     64.00000000	     40.12600000	      0.07792176	      0.03976985	      0.07452744
     65.00000000	     40.12800000	      0.07763987	      0.03963248	      0.07468968
     66.00000000	     40.13000000	      0.07732575	      0.03947580	      0.07487474
     67.00000000	     40.13200000	      0.07698080	      0.03930074	      0.07508156
     68.00000000	     40.13400000	      0.07660681	      0.03910855	      0.07530867
     69.00000000	     40.13600000	      0.07620627	      0.03890088	      0.07555414
     70.00000000	     40.13800000	      0.07578181	      0.03867966	      0.07581571
     71.00000000	     40.14000000	      0.07533661	      0.03844712	      0.07609076
     72.00000000	     40.14200000	      0.07487412	      0.03820574	      0.07637642
     73.00000000	     40.14400000	      0.07439835	      0.03795820	      0.07666951
     74.00000000	     40.14600000	      0.07391336	      0.03770730	      0.07696674
     75.00000000	     40.14800000	      0.07342344	      0.03745593	      0.07726473
     76.00000000	     40.15000000	      0.07293301	      0.03720696	      0.07756007
     77.00000000	     40.15200000	      0.07244627	      0.03696320	      0.07784945
     78.00000000	     40.15400000	      0.07196712	      0.03672728	      0.07812974
     79.00000000	     40.15600000	      0.07149928	      0.03650168	      0.07839800
     80.00000000	     40.15800000	      0.07104615	      0.03628863	      0.07865155
     81.00000000	     40.16000000	      0.07061067	      0.03609010	      0.07888800
     82.00000000	     40.16200000	      0.07019530	      0.03590781	      0.07910530
     83.00000000	     40.16400000	      0.06980220	      0.03574317	      0.07930171
     84.00000000	     40.16600000	      0.06943314	      0.03559729	      0.07947587
     85.00000000	     40.16800000	      0.06908951	      0.03547101	      0.07962672
     86.00000000	     40.17000000	      0.06877240	      0.03536491	      0.07975356
     87.00000000	     40.17200000	      0.06848259	      0.03527928	      0.07985597
     88.00000000	     40.17400000	      0.06822066	      0.03521423	      0.07993380
     89.00000000	     40.17600000	      0.06798702	      0.03516965	      0.07998715
     90.00000000	     40.17800000	      0.06778180	      0.03514523	      0.08001638
     91.00000000	     40.18000000	      0.06760519	      0.03514055	      0.08002198
     92.00000000	     40.18200000	      0.06745672	      0.03515495	      0.08000474
     93.00000000	     40.18400000	      0.06733601	      0.03518770	      0.07996556
     94.00000000	     40.18600000	      0.06724223	      0.03523788	      0.07990550
     95.00000000	     40.18800000	      0.06717457	      0.03530456	      0.07982573
     96.00000000	     40.19000000	      0.06713189	      0.03538668	      0.07972752
     97.00000000	     40.19200000	      0.06711303	      0.03548316	      0.07961220
     98.00000000	     40.19400000	      0.06711678	      0.03559291	      0.07948109
     99.00000000	     40.19600000	      0.06714169	      0.03571477	      0.07933560
    100.00000000	     40.19800000	      0.06718628	      0.03584761	      0.07917710
    101.00000000	     40.20000000	      0.06724912	      0.03599031	      0.07900694
    102.00000000	     40.20200000	      0.06732870	      0.03614179	      0.07882642
    103.00000000	     40.20400000	      0.06742357	      0.03630100	      0.07863681
    104.00000000	     40.20600000	      0.06753226	      0.03646695	      0.07843932
    105.00000000	     40.20800000	      0.06765334	      0.03663867	      0.07823508
    106.00000000	     40.21000000	      0.06778547	      0.03681531	      0.07802514
    107.00000000	     40.21200000	      0.06792750	      0.03699606	      0.07781043
    108.00000000	     40.21400000	      0.06807799	      0.03718013	      0.07759192
    109.00000000	     40.21600000	      0.06823592	      0.03736685	      0.07737038
    110.00000000	     40.21800000	      0.06840029	      0.03755561	      0.07714653
