UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	lat_gas_l	lat_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
     55.00000000	      0.55000000	      0.02406724	      0.05535864	      0.03229679	      0.04663090	      0.08346217	      0.06641823
     56.00000000	      0.56000000	      0.02526741	      0.05565597	      0.03337923	      0.04675277	      0.08214293	      0.06627358
     57.00000000	      0.57000000	      0.02690121	      0.05591083	      0.03477171	      0.04685277	      0.08046402	      0.06615487
     58.00000000	      0.58000000	      0.02854652	      0.05640474	      0.03612028	      0.04715465	      0.07885204	      0.06579632
     59.00000000	      0.59000000	      0.03006442	      0.05694466	      0.03737034	      0.04749454	      0.07736623	      0.06539236
     60.00000000	      0.60000000	      0.03127313	      0.05736411	      0.03835992	      0.04772676	      0.07619394	      0.06511619
     61.00000000	      0.61000000	      0.03218875	      0.05746483	      0.03903352	      0.04767004	      0.07539734	      0.06518366
     62.00000000	      0.62000000	      0.03273587	      0.05751598	      0.03930876	      0.04761247	      0.07507209	      0.06525212
     63.00000000	      0.63000000	      0.03326134	      0.05776055	      0.03948305	      0.04776035	      0.07486619	      0.06507622
     64.00000000	      0.64000000	      0.03408376	      0.05814879	      0.03984057	      0.04798041	      0.07444393	      0.06481435
     65.00000000	      0.65000000	      0.03533314	      0.05861041	      0.04049662	      0.04827582	      0.07366943	      0.06446261
     66.00000000	      0.66000000	      0.03670401	      0.05891772	      0.04119878	      0.04846340	      0.07284076	      0.06423912
     67.00000000	      0.67000000	      0.03789902	      0.05902301	      0.04169136	      0.04842199	      0.07225947	      0.06428846
     68.00000000	      0.68000000	      0.03871578	      0.05924630	      0.04177621	      0.04848953	      0.07215934	      0.06420797
     69.00000000	      0.69000000	      0.03916206	      0.05952697	      0.04144473	      0.04867614	      0.07255051	      0.06398551
     70.00000000	      0.70000000	      0.03963331	      0.05974637	      0.04102781	      0.04884537	      0.07304252	      0.06378368
     71.00000000	      0.71000000	      0.04055533	      0.05997466	      0.04093205	      0.04903651	      0.07315552	      0.06355561
     72.00000000	      0.72000000	      0.04116591	      0.06022342	      0.04049218	      0.04925323	      0.07367467	      0.06329688
     73.00000000	      0.73000000	      0.04175307	      0.06056155	      0.04001303	      0.04957542	      0.07424029	      0.06291193
     74.00000000	      0.74000000	      0.04276551	      0.06078042	      0.03985247	      0.04982694	      0.07442988	      0.06261117
     75.00000000	      0.75000000	      0.04415580	      0.06099618	      0.03994762	      0.05001265	      0.07431753	      0.06239720
     76.00000000	      0.76000000	      0.04533128	      0.06139924	      0.03980832	      0.05029805	      0.07448202	      0.06205256
     77.00000000	      0.77000000	      0.04590898	      0.06188560	      0.03910981	      0.05068944	      0.07530718	      0.06157918
     78.00000000	      0.78000000	      0.04671544	      0.06214324	      0.03866402	      0.05089978	      0.07583420	      0.06132441
     79.00000000	      0.79000000	      0.04748462	      0.06208407	      0.03833865	      0.05086061	      0.07621911	      0.06137187
     80.00000000	      0.80000000	      0.04791320	      0.06229830	      0.03791559	      0.05109434	      0.07671997	      0.06108851
     81.00000000	      0.81000000	      0.04838148	      0.06255822	      0.03770359	      0.05139504	      0.07697114	      0.06072347
     82.00000000	      0.82000000	      0.04865315	      0.06263545	      0.03746610	      0.05157063	      0.07725266	      0.06051005
     83.00000000	      0.83000000	      0.04860849	      0.06272349	      0.03709191	      0.05179252	      0.07769663	      0.06024007
