Toe y trajetcoriesendheader

time	leftToe	rightToe
39.99800000	32.37328733	46.43158716
40.00000000	32.26454206	47.61561794
40.00200000	32.19945673	48.83611389
40.00400000	32.14355622	50.20393832
40.00600000	32.05574955	51.46959466
40.00800000	31.95577177	52.83431780
40.01000000	31.89858381	54.28635753
40.01200000	31.85463515	55.62421571
40.01400000	31.76287773	57.18319252
40.01600000	31.74379663	58.68761018
40.01800000	31.65795106	60.31494993
40.02000000	31.64711180	61.89044925
40.02200000	31.60764907	63.53146268
40.02400000	31.56365415	65.09263970
40.02600000	31.53810840	66.75198216
40.02800000	31.47737930	68.29408970
40.03000000	31.45308798	69.87576227
40.03200000	31.40095100	71.42419613
40.03400000	31.91074157	72.96310086
40.03600000	31.80693353	74.47304217
40.03800000	31.30521946	76.01460228
40.04000000	31.73994099	77.40671646
40.04200000	31.68820410	78.95853039
40.04400000	31.65850868	80.36086606
40.04600000	31.74864978	81.88513632
40.04800000	31.72086495	83.37266454
40.05000000	31.65375562	84.90870068
40.05200000	31.61845010	86.41633049
40.05400000	31.56093850	87.89515682
40.05600000	31.58040704	89.35602936
40.05800000	31.59146787	90.82140440
40.06000000	31.56021704	92.18761703
40.06200000	31.48349215	93.55988021
40.06400000	31.37682239	94.90717789
40.06600000	31.35715226	96.19550463
40.06800000	31.29892824	97.50179942
40.07000000	31.22580148	98.78274097
40.07200000	31.16731826	100.04893033
40.07400000	31.14636043	101.28441468
40.07600000	31.11910761	102.49497996
40.07800000	30.98392912	103.64968000
40.08000000	30.94928031	104.81053329
40.08200000	30.96323091	105.93983054
40.08400000	30.91875560	107.02626519
40.08600000	30.85315231	107.52799409
40.08800000	30.88624435	108.51926168
40.09000000	30.80022830	109.24925050
40.09200000	30.74636608	110.00543441
40.09400000	30.62242120	110.67600128
40.09600000	30.56293958	111.36355186
40.09800000	30.45756788	111.99537162
40.10000000	30.39390829	112.55088892
40.10200000	30.40359055	113.01954821
40.10400000	30.31744042	113.47930583
40.10600000	30.25714374	113.91254235
40.10800000	30.16966331	114.19804535
40.11000000	30.06027225	114.56254420
40.11200000	30.03275544	114.87357098
40.11400000	29.93532197	115.05480588
40.11600000	29.90457615	115.27979863
40.11800000	29.84547212	115.37540238
40.12000000	29.80228039	115.48636001
40.12200000	30.16481884	115.46345734
40.12400000	30.82463573	115.47003975
40.12600000	30.81890999	115.31782338
40.12800000	30.73633929	115.24054818
40.13000000	30.73539269	115.02595399
40.13200000	30.76995531	114.81995837
40.13400000	30.76848098	114.52856350
40.13600000	30.80561950	114.15338255
40.13800000	30.75835080	113.83055456
40.14000000	30.74284980	113.34873246
40.14200000	30.75322401	112.77134062
40.14400000	30.73066737	112.48546232
40.14600000	30.68848005	116.68843919
40.14800000	30.69105261	113.23657766
40.15000000	30.64909023	111.43494839
40.15200000	30.69756066	110.42477117
40.15400000	30.64412076	109.72384370
40.15600000	30.63821326	108.55350901
40.15800000	30.62628402	108.08560067
40.16000000	30.62456332	106.98189522
40.16200000	30.57175135	106.29937160
40.16400000	30.55331300	104.27869194
40.16600000	30.68353562	103.50343467
40.16800000	30.57352760	102.49965881
40.17000000	30.57128482	101.58196138
40.17200000	30.49958032	100.63477079
40.17400000	30.48075921	99.65367174
40.17600000	30.46496678	98.71308574
40.17800000	30.44234987	97.74378629
40.18000000	30.54321000	96.77659299
40.18200000	30.49500917	95.75787832
40.18400000	30.47600271	94.76855799
40.18600000	29.75429791	93.73813101
40.18800000	30.40065876	92.73316547
40.19000000	29.74696103	92.73965070
40.19200000	30.38480381	90.51909371
40.19400000	29.66434895	90.78206571
40.19600000	29.70701904	89.56020259
40.19800000	29.70550567	88.71325684
40.20000000	29.65842074	87.56135708
40.20200000	29.68780468	86.53735665
40.20400000	29.60126055	85.54341392
40.20600000	29.59653618	83.13382930
40.20800000	29.62102359	83.30720602
40.21000000	29.58443966	81.93389758
40.21200000	29.56521123	79.84900680
40.21400000	29.53600865	78.78978175
40.21600000	29.54688299	77.68012411
40.21800000	29.58737417	76.59727477
40.22000000	29.52297246	75.51849814
40.22200000	29.50833962	74.47464174
40.22400000	29.68549564	73.39652469
40.22600000	29.47016084	72.33201946
40.22800000	29.46443694	71.25053736
40.23000000	29.46607108	71.05395539
40.23200000	29.42654425	68.97803754
40.23400000	29.47225260	68.08876211
40.23600000	29.39249232	67.08486510
40.23800000	29.44439492	66.08751337
40.24000000	29.40136101	65.13252582
40.24200000	29.41832535	64.17893134
40.24400000	29.34430227	63.23773960
40.24600000	29.36025610	62.30556126
40.24800000	30.19553920	61.38406089
40.25000000	30.16399195	60.45407584
40.25200000	30.36433845	59.60030920
40.25400000	30.18266590	58.79429681
40.25600000	30.17787545	57.94228926
40.25800000	30.14042513	57.18625631
40.26000000	30.12499586	56.39350866
40.26200000	30.39386741	55.64042616
40.26400000	30.42716420	54.93486926
40.26600000	30.21911617	54.37349648
40.26800000	30.23142467	53.57546381
40.27000000	30.18841082	53.04207991
40.27200000	30.20642668	52.43145314
40.27400000	30.37626308	51.97296181
40.27600000	30.36038685	51.35172465
40.27800000	30.21984230	50.90484614
40.28000000	30.26090447	50.33401159
40.28200000	30.28152163	50.96854924
40.28400000	30.39346655	50.71306338
40.28600000	30.37708046	50.60068751
40.28800000	30.27755104	50.47095637
40.29000000	30.26114686	50.14872356
40.29200000	30.27937896	50.01080843
40.29400000	30.24947499	49.75398978
40.29600000	30.51645014	49.14868433
40.29800000	30.46931715	49.00316100
40.30000000	30.30965906	48.51121487
40.30200000	30.28980746	48.29350922
40.30400000	30.25337940	48.33026310
40.30600000	30.50983464	48.10993071
40.30800000	30.49978267	48.02341392
40.31000000	30.45982904	47.92660576
40.31200000	30.50555219	47.79541896
40.31400000	30.35660076	47.72520181
40.31600000	30.31603886	47.70132142
40.31800000	30.50908053	47.66365848
40.32000000	30.54480737	47.64508076
40.32200000	30.49836619	47.66221143
40.32400000	30.47918310	47.83714479
40.32600000	30.28904680	47.90193709
40.32800000	30.51314896	47.82522252
40.33000000	30.64576890	48.03920799
40.33200000	30.61213626	48.20979680
40.33400000	30.52157511	48.58865178
40.33600000	30.50153331	48.87415184
40.33800000	30.38290168	49.32999745
40.34000000	30.29956205	49.90024085
40.34200000	30.54710259	50.51719151
40.34400000	30.49353649	51.24055357
40.34600000	30.41305734	52.03200475
40.34800000	30.54638581	52.91904622
40.35000000	30.33606110	53.88900354
40.35200000	30.25108707	54.83170546
40.35400000	30.41769310	55.95209224
40.35600000	30.31523542	57.07437878
40.35800000	30.32069726	58.06824004
40.36000000	30.35392487	59.17052229
40.36200000	29.61994335	60.26426262
40.36400000	29.60079871	61.33256036
40.36600000	29.52490856	62.35362892
40.36800000	29.53244153	63.38365474
40.37000000	29.55287938	64.25622719
40.37200000	29.57584593	65.12435118
40.37400000	29.67723581	65.82773655
40.37600000	29.64138984	66.63367906
40.37800000	29.54546227	67.16297466
40.38000000	29.65392362	67.71265498
40.38200000	29.57437188	68.23438335
40.38400000	29.55267758	68.50865092
40.38600000	29.70300386	68.73261742
40.38800000	29.68820588	68.93543611
40.39000000	29.59736495	69.01298758
40.39200000	29.60919915	69.00400710
40.39400000	29.66632317	68.97492267
40.39600000	29.66237131	68.86989019
40.39800000	29.70052494	68.72019659
40.40000000	29.71431594	68.50064439
40.40200000	29.68204248	68.23336644
40.40400000	29.68844694	67.90802442
40.40600000	29.76929814	67.51278285
40.40800000	29.65370134	67.02101544
40.41000000	29.71568469	66.59065770
40.41200000	29.75994350	66.12002319
40.41400000	29.65671004	65.55141169
40.41600000	29.66334827	64.88598993
40.41800000	29.71542545	64.30078287
40.42000000	29.67862935	63.53877601
40.42200000	29.60946633	62.77969884
40.42400000	29.66939546	61.94057570
40.42600000	29.73772232	60.89178260
40.42800000	29.64899081	59.85498358
40.43000000	29.62951817	58.76182473
40.43200000	29.67972981	57.30935012
40.43400000	29.68019162	55.82612541
40.43600000	29.68292709	54.29677553
40.43800000	29.62144758	52.68350272
40.44000000	29.58955513	51.01701305
40.44200000	29.55492186	49.31338440
40.44400000	29.59584227	47.72408513
40.44600000	29.62134614	46.28487346
40.44800000	29.60691689	44.90416423
40.45000000	29.56891962	43.62934987
40.45200000	29.59048496	42.44383520
40.45400000	29.56502028	41.71824502
40.45600000	29.57571495	40.76712282
40.45800000	29.65594704	40.38802208
40.46000000	29.69852900	39.82133867
40.46200000	29.49909618	39.73295978
40.46400000	29.53709533	39.59791728
40.46600000	29.64161400	39.36647639
40.46800000	29.70215199	39.02348372
40.47000000	29.65829636	38.67036181
40.47200000	29.72841240	38.23120393
40.47400000	29.77880326	37.61833480
40.47600000	29.79452063	37.07692542
40.47800000	29.78259308	36.57471080
40.48000000	29.81047489	36.06335971
40.48200000	29.86398165	35.69302820
40.48400000	29.95342029	35.30656636
40.48600000	30.07874848	35.14972358
40.48800000	30.11859154	34.91313071
40.49000000	30.12019997	34.70801241
40.49200000	30.23001906	34.52795294
40.49400000	30.34642861	34.35116607
40.49600000	30.40666266	34.17577627
40.49800000	30.48201158	34.02082326
40.50000000	30.61725384	33.84208590
40.50200000	30.65393748	33.62861347
40.50400000	30.78459138	33.43131594
40.50600000	30.93428824	33.28988081
40.50800000	31.06902739	33.03413656
40.51000000	31.21618558	32.88261008
40.51200000	31.38166761	32.71867671
40.51400000	31.49737305	32.72004844
40.51600000	31.68999795	32.41057194
40.51800000	31.88543261	32.45400891
40.52000000	32.13578009	32.14680827
40.52200000	32.38574234	32.22084445
40.52400000	32.68222020	32.08873214
40.52600000	32.98202606	32.04966432
40.52800000	33.31609135	31.93800504
40.53000000	33.61937673	31.91689497
40.53200000	34.03989204	31.87361455
40.53400000	34.43164773	31.65921346
40.53600000	34.90822014	31.57126257
40.53800000	35.43388152	31.62024499
40.54000000	35.97245141	31.45451328
40.54200000	36.61125544	31.37804586
40.54400000	37.45488976	31.37625683
40.54600000	38.48598661	31.24348339
40.54800000	39.63847399	31.11796688
40.55000000	40.95352668	31.05406051
40.55200000	42.38396860	31.01451898
40.55400000	43.96906718	30.96854315
40.55600000	45.54191165	30.91087478
40.55800000	47.06049361	30.83117303
40.56000000	48.62475067	30.76525034
40.56200000	50.20418199	30.65395606
40.56400000	51.77575095	30.57653511
