Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
40.03650000	0.00002521	0.00017961	0.00006260	0.00011953	0.00001907	0.00011439
40.03700000	0.00002502	0.00018158	0.00006304	0.00011951	0.00001929	0.00011489
40.03750000	0.00002486	0.00018316	0.00006322	0.00011945	0.00001946	0.00011539
40.03800000	0.00002471	0.00018385	0.00006326	0.00011946	0.00001955	0.00011569
40.03850000	0.00002453	0.00018367	0.00006326	0.00011970	0.00001952	0.00011614
40.03900000	0.00002436	0.00018318	0.00006337	0.00012035	0.00001943	0.00011718
40.03950000	0.00002419	0.00018324	0.00006373	0.00012134	0.00001942	0.00011921
40.04000000	0.00002404	0.00018340	0.00006428	0.00012234	0.00001957	0.00012209
40.04050000	0.00002391	0.00018338	0.00006479	0.00012307	0.00001986	0.00012487
40.04100000	0.00002382	0.00018356	0.00006493	0.00012356	0.00002027	0.00012687
40.04150000	0.00002374	0.00018387	0.00006466	0.00012378	0.00002080	0.00012785
40.04200000	0.00002371	0.00018405	0.00006408	0.00012378	0.00002118	0.00012819
40.04250000	0.00002367	0.00018411	0.00006322	0.00012422	0.00002132	0.00012822
40.04300000	0.00002361	0.00018414	0.00006221	0.00012574	0.00002134	0.00012824
40.04350000	0.00002359	0.00018410	0.00006128	0.00012762	0.00002134	0.00012842
40.04400000	0.00002359	0.00018393	0.00006066	0.00012878	0.00002135	0.00012867
40.04450000	0.00002360	0.00018416	0.00006052	0.00012923	0.00002139	0.00012889
40.04500000	0.00002359	0.00018513	0.00006047	0.00012925	0.00002145	0.00012922
40.04550000	0.00002356	0.00018621	0.00005974	0.00012923	0.00002146	0.00012961
40.04600000	0.00002353	0.00018694	0.00005777	0.00012961	0.00002143	0.00012996
40.04650000	0.00002350	0.00018744	0.00005511	0.00013016	0.00002144	0.00013026
40.04700000	0.00002352	0.00018779	0.00005283	0.00013028	0.00002152	0.00013051
40.04750000	0.00002362	0.00018796	0.00005124	0.00013035	0.00002165	0.00013062
40.04800000	0.00002388	0.00018792	0.00005055	0.00013070	0.00002173	0.00013062
40.04850000	0.00002440	0.00018778	0.00005062	0.00013103	0.00002174	0.00013062
40.04900000	0.00002507	0.00018760	0.00005087	0.00013118	0.00002172	0.00013062
40.04950000	0.00002559	0.00018744	0.00005090	0.00013120	0.00002171	0.00013090
40.05000000	0.00002587	0.00018729	0.00005095	0.00013116	0.00002172	0.00013263
40.05050000	0.00002600	0.00018718	0.00005110	0.00013112	0.00002172	0.00013607
40.05100000	0.00002608	0.00018714	0.00005113	0.00013118	0.00002173	0.00014007
40.05150000	0.00002619	0.00018710	0.00005106	0.00013129	0.00002176	0.00014336
40.05200000	0.00002630	0.00018703	0.00005094	0.00013137	0.00002178	0.00014522
40.05250000	0.00002635	0.00018698	0.00005079	0.00013141	0.00002179	0.00014572
40.05300000	0.00002635	0.00018698	0.00005061	0.00013145	0.00002179	0.00014571
40.05350000	0.00002633	0.00018698	0.00005065	0.00013157	0.00002179	0.00014595
40.05400000	0.00002633	0.00018695	0.00005101	0.00013188	0.00002180	0.00014673
40.05450000	0.00002633	0.00018687	0.00005128	0.00013234	0.00002182	0.00014777
40.05500000	0.00002636	0.00018681	0.00005124	0.00013284	0.00002185	0.00014833
40.05550000	0.00002642	0.00018682	0.00005161	0.00013339	0.00002186	0.00014830
40.05600000	0.00002655	0.00018672	0.00005258	0.00013400	0.00002191	0.00014827
40.05650000	0.00002673	0.00018682	0.00005370	0.00013459	0.00002198	0.00014826
40.05700000	0.00002702	0.00018760	0.00005478	0.00013506	0.00002214	0.00014843
40.05750000	0.00002755	0.00018861	0.00005622	0.00013533	0.00002240	0.00014884
40.05800000	0.00002826	0.00018875	0.00005886	0.00013532	0.00002284	0.00014902
40.05850000	0.00002900	0.00018793	0.00006232	0.00013563	0.00002350	0.00014906
40.05900000	0.00002957	0.00018745	0.00006476	0.00013695	0.00002418	0.00014909
40.05950000	0.00002992	0.00018733	0.00006560	0.00013855	0.00002463	0.00014919
40.06000000	0.00003003	0.00018693	0.00006567	0.00013948	0.00002472	0.00014920
40.06050000	0.00003002	0.00018642	0.00006563	0.00013980	0.00002469	0.00014921
40.06100000	0.00003000	0.00018620	0.00006592	0.00013989	0.00002480	0.00014932
40.06150000	0.00002998	0.00018613	0.00006691	0.00013993	0.00002507	0.00014933
40.06200000	0.00002998	0.00018616	0.00006879	0.00014000	0.00002552	0.00014941
40.06250000	0.00003000	0.00018609	0.00007123	0.00014006	0.00002623	0.00014961
40.06300000	0.00003008	0.00018594	0.00007358	0.00014006	0.00002719	0.00014974
40.06350000	0.00003019	0.00018584	0.00007547	0.00014005	0.00002815	0.00014977
40.06400000	0.00003034	0.00018575	0.00007661	0.00014005	0.00002891	0.00014976
40.06450000	0.00003047	0.00018556	0.00007708	0.00014006	0.00002941	0.00014986
40.06500000	0.00003052	0.00018548	0.00007719	0.00014011	0.00002963	0.00015007
40.06550000	0.00003052	0.00018547	0.00007718	0.00014014	0.00002966	0.00015032
40.06600000	0.00003051	0.00018522	0.00007713	0.00014015	0.00002963	0.00015065
40.06650000	0.00003053	0.00018473	0.00007707	0.00014018	0.00002958	0.00015114
40.06700000	0.00003060	0.00018436	0.00007702	0.00014027	0.00002953	0.00015183
40.06750000	0.00003069	0.00018428	0.00007708	0.00014025	0.00002951	0.00015256
40.06800000	0.00003076	0.00018439	0.00007717	0.00014027	0.00002951	0.00015316
40.06850000	0.00003081	0.00018455	0.00007716	0.00014046	0.00002952	0.00015343
40.06900000	0.00003080	0.00018462	0.00007711	0.00014075	0.00002953	0.00015346
40.06950000	0.00003072	0.00018452	0.00007709	0.00014112	0.00002954	0.00015343
40.07000000	0.00003064	0.00018447	0.00007709	0.00014162	0.00002957	0.00015342
40.07050000	0.00003069	0.00018445	0.00007720	0.00014227	0.00002962	0.00015349
40.07100000	0.00003087	0.00018421	0.00007753	0.00014302	0.00002971	0.00015369
40.07150000	0.00003109	0.00018397	0.00007806	0.00014370	0.00002984	0.00015398
40.07200000	0.00003132	0.00018383	0.00007863	0.00014423	0.00002997	0.00015422
