Toe y trajetcoriesendheader

time	leftToe	rightToe
39.99800000	64.50193388	30.62080762
40.00000000	64.29682237	30.62968185
40.00200000	64.32755599	30.63086523
40.00400000	64.34134172	30.94003849
40.00600000	64.36556998	30.96705435
40.00800000	64.45655441	31.07761828
40.01000000	64.66431672	31.07735141
40.01200000	64.89760545	31.22842411
40.01400000	65.12599205	31.23937354
40.01600000	65.44073800	31.38928291
40.01800000	65.86846843	31.48104477
40.02000000	66.31618327	31.56210708
40.02200000	66.94057299	31.64688850
40.02400000	67.93638321	31.81217442
40.02600000	68.54548337	31.85940060
40.02800000	69.68023357	31.90745800
40.03000000	70.37719502	32.00980072
40.03200000	71.30782842	32.06622676
40.03400000	72.29671475	32.22178737
40.03600000	73.46039038	32.23956203
40.03800000	74.94513222	32.32630075
40.04000000	75.86423387	32.31035992
40.04200000	77.23780984	32.36583632
40.04400000	78.58444286	32.33192641
40.04600000	79.99636512	32.27571556
40.04800000	81.39428868	32.23804919
40.05000000	82.85009099	32.19823963
40.05200000	84.37723931	32.27179321
40.05400000	85.92986228	32.12844290
40.05600000	87.48229801	32.15310950
40.05800000	88.94522058	32.04580797
40.06000000	90.44287830	32.06207773
40.06200000	91.95727209	31.97771834
40.06400000	93.35648392	31.95148635
40.06600000	94.81595069	31.91129364
40.06800000	96.19774053	31.37118812
40.07000000	97.55524007	31.42340872
40.07200000	98.84592660	31.43952456
40.07400000	100.03112946	31.47987295
40.07600000	101.20090776	31.47636635
40.07800000	102.32304708	31.50736659
40.08000000	103.26500225	31.59253916
40.08200000	104.19294221	31.56149929
40.08400000	104.89511083	31.66816175
40.08600000	105.74116287	31.70791597
40.08800000	106.28941414	31.76516152
40.09000000	106.81315119	31.79536429
40.09200000	107.30479735	31.93396265
40.09400000	107.49221107	31.90828237
40.09600000	107.65660174	31.98251106
40.09800000	107.85794362	31.85905386
40.10000000	107.82552301	31.88868990
40.10200000	107.67863253	31.92427399
40.10400000	107.38276434	31.97123715
40.10600000	106.91531492	31.92445147
40.10800000	106.31662367	32.01074510
40.11000000	105.63527372	31.96903603
40.11200000	104.82473696	31.65805927
40.11400000	103.77660107	31.71947547
40.11600000	102.68882473	31.84927067
40.11800000	101.37864279	31.96929417
