ANALOG
2000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1,RMG,LMG,RTA,LTA,SPEED,MP,S1,SYNC
Units:,N,N,N,Nmm,Nmm,Nmm,V,V,V,V,V,V,V,V
821,0.606093,-0.084273,-1.013711,38.494545,34.526897,-25.342028,0.000007,0.000007,-0.000004,0.000016,-0.047336,0.017590,0.000458,1.249962
822,0.491092,0.086871,-1.226114,12.010126,35.501465,7.001150,0.000008,0.000018,-0.000005,0.000008,-0.050540,0.018811,0.000229,1.249962
823,0.620378,0.034657,-1.292540,3.312350,23.990223,0.534414,0.000008,-0.000002,-0.000003,-0.000001,-0.050082,0.018964,0.000191,1.249962
824,0.437161,0.022949,-1.282942,0.306865,13.700537,3.568530,0.000014,-0.000030,-0.000017,0.000005,-0.051303,0.019727,0.000153,1.249962
825,0.506851,0.011659,-1.129286,9.234143,23.868393,1.688141,0.000034,-0.000014,0.000000,0.000007,-0.050388,0.018048,0.000038,1.249962
826,0.455571,-0.024715,-1.226159,16.836842,26.914841,0.179873,0.000019,0.000005,-0.000002,0.000001,-0.053439,0.017743,0.001183,0.339928
827,0.668884,0.008859,-1.321750,21.557510,17.006117,14.365617,-0.000005,0.000027,-0.000007,0.000010,-0.052524,0.016980,0.000877,0.342026
828,0.602745,0.001270,-1.146121,13.121155,29.466875,1.659225,0.000029,0.000008,-0.000003,0.000032,-0.050235,0.016370,0.001259,0.339279
829,0.616580,0.021440,-1.195088,34.636883,31.272285,3.454893,-0.000017,-0.000001,-0.000005,0.000042,-0.051913,0.016370,0.001068,0.342751
830,0.560179,0.010534,-1.165987,17.182844,16.071173,1.998622,-0.000067,-0.000001,-0.000000,0.000036,-0.049319,0.018811,0.000839,0.345345
831,0.678986,-0.062988,-0.911836,25.417269,39.450443,-26.795248,-0.000023,0.000001,-0.000001,-0.000056,-0.047794,0.018048,-0.000420,1.249962
832,0.544612,-0.058115,-1.201638,21.493113,15.119568,-10.047802,0.000009,0.000002,-0.000003,-0.000107,-0.052219,0.016827,0.000839,1.249962
833,0.562802,-0.074695,-1.078642,1.392169,11.994762,-7.997234,0.000014,0.000001,-0.000002,-0.000036,-0.049472,0.017590,0.000381,1.249962
834,0.543009,-0.067930,-1.007188,10.956688,28.416302,-11.617887,0.000035,-0.000009,0.000006,-0.000026,-0.051456,0.017743,0.000916,1.249962
835,0.542930,-0.124399,-1.036999,5.769504,15.234791,-1.507936,0.000026,-0.000005,0.000004,0.000018,-0.050540,0.016217,0.000038,1.249962
836,0.419052,-0.175677,-1.067800,8.632388,18.658693,-16.128658,0.000063,0.000044,0.000005,0.000033,-0.054050,0.015454,0.000420,0.341644
837,0.390251,-0.175828,-1.020896,3.560092,12.155126,-11.996169,0.000019,-0.000010,0.000001,0.000034,-0.053287,0.016827,0.000267,0.343742
838,0.368654,-0.142515,-0.979755,4.676876,24.931126,-8.008074,-0.000111,-0.000031,-0.000005,0.000029,-0.051456,0.015759,0.000534,0.345001
839,0.305023,-0.108395,-1.086733,-1.629449,12.287651,-0.104025,0.000010,0.000002,-0.000004,0.000025,-0.049319,0.016675,0.001526,0.344009
840,0.254423,-0.068465,-1.124741,7.508751,17.906677,8.052505,0.000053,0.000039,-0.000004,0.000014,-0.050388,0.017133,0.000687,0.343857
841,0.444719,-0.129837,-0.922566,36.630074,40.701534,-20.168346,0.000040,0.000036,-0.000002,0.000015,-0.048557,0.017133,0.000114,1.249962
842,0.269926,-0.116476,-1.062880,12.015853,23.942379,-4.705266,-0.000021,0.000000,-0.000001,0.000018,-0.051456,0.017743,0.001564,1.249962
843,0.259094,-0.028965,-1.166803,11.432175,14.976015,11.131788,-0.000042,-0.000015,-0.000002,0.000008,-0.051761,0.017133,0.000610,1.249962
844,0.419077,-0.039666,-1.057388,18.370026,18.676826,-4.411973,-0.000021,-0.000012,-0.000006,0.000005,-0.051761,0.017896,0.001907,1.249962
845,0.389211,-0.091096,-1.139149,16.856581,19.183853,-0.319687,-0.000024,-0.000014,-0.000007,-0.000002,-0.051456,0.017285,0.001411,1.249962
846,0.357555,-0.032483,-1.110174,21.936409,24.565214,6.998492,0.000065,-0.000013,0.000000,0.000004,-0.054965,0.018048,0.001068,0.334320
847,0.452990,-0.064591,-1.102307,12.187130,19.329960,4.164903,0.000043,-0.000005,-0.000001,-0.000000,-0.051761,0.015454,0.000381,0.344276
848,0.485775,-0.041189,-1.433180,27.133059,8.614429,8.778309,0.000047,-0.000002,0.000013,0.000004,-0.050845,0.017133,0.000725,0.341187
849,0.520147,0.123171,-1.364423,18.838348,-4.771662,23.791807,0.000021,0.000012,0.000004,-0.000002,-0.051761,0.017285,0.000191,0.344009
850,0.560821,-0.048649,-1.169919,21.812334,12.496758,8.524912,0.000010,-0.000000,0.000006,0.000022,-0.050998,0.016370,0.000839,0.342255
851,0.743778,-0.080804,-0.906962,32.059391,37.887466,0.910447,-0.000007,0.000006,0.000004,0.000037,-0.048404,0.017590,0.001640,1.249962
852,0.548711,0.008282,-1.225995,1.084854,25.839401,10.521250,-0.000014,0.000009,0.000006,0.000041,-0.051608,0.018048,0.000458,1.249962
853,0.526356,-0.017266,-1.017372,4.061695,15.924219,10.097232,-0.000005,0.000002,-0.000004,0.000034,-0.050082,0.019727,0.001678,1.249962
854,0.530988,-0.021648,-1.175185,7.943273,12.813770,3.663136,0.000002,-0.000004,-0.000000,-0.000010,-0.053134,0.017743,0.001183,1.249962
855,0.563559,-0.029806,-1.210507,26.439398,33.363251,2.303073,0.000003,-0.000004,-0.000005,-0.000080,-0.052524,0.027051,0.000153,1.249962
856,0.586482,-0.035436,-1.032400,2.701364,27.705486,6.382495,-0.000018,0.000001,-0.000004,-0.000100,-0.053745,0.015454,0.001068,0.344276
857,0.565973,-0.018549,-1.078094,17.736067,25.695906,5.607661,-0.000032,0.000009,-0.000003,0.000007,-0.050388,0.017743,0.001183,0.356522
858,0.555767,-0.050500,-1.271864,20.879160,7.863241,6.690138,-0.000011,0.000001,-0.000002,-0.000000,-0.054202,0.016522,0.000420,0.346069
859,0.602145,-0.016731,-1.264169,17.656925,15.810780,7.316391,0.000006,-0.000017,-0.000001,0.000025,-0.051303,0.017285,0.000610,0.343590
860,0.600337,0.040366,-0.914885,6.445003,11.246469,5.333557,0.000013,-0.000002,-0.000003,-0.000012,-0.051608,0.017743,0.001640,0.345268
861,0.813469,-0.038932,-1.015524,27.570709,39.155872,-7.806668,0.000028,-0.000002,0.000004,0.000029,-0.048251,0.016522,0.001335,1.249962
862,0.619155,-0.007856,-1.165335,5.058915,21.822491,0.586311,0.000020,0.000022,-0.000003,0.000032,-0.049625,0.017590,0.000153,1.249962
863,0.646217,-0.079572,-1.050061,6.453975,10.720655,-9.749408,0.000019,0.000017,-0.000000,0.000025,-0.050540,0.017285,0.000687,1.249962
864,0.667293,0.015836,-1.133286,17.528936,16.409704,1.825544,0.000009,0.000015,0.000001,0.000016,-0.051761,0.013928,0.000381,1.249962
865,0.610164,0.010235,-1.159543,19.831764,34.197132,2.153847,0.000010,0.000002,0.000005,0.000018,-0.051151,0.018048,0.001068,1.249962
866,0.676745,0.014851,-1.098293,13.396117,16.990852,4.990215,0.000009,-0.000015,-0.000001,0.000010,-0.053897,0.017285,0.001297,0.339737
867,0.555165,0.088121,-1.138152,13.115658,9.701063,3.230300,0.000006,-0.000007,-0.000003,0.000007,-0.051303,0.016675,0.001526,0.340958
868,0.552694,0.047890,-0.858288,-3.725042,3.052279,6.787673,0.000005,-0.000004,-0.000001,0.000009,-0.050388,0.016827,0.000839,0.341988
869,0.441044,0.038095,-1.240570,19.712135,27.937899,4.449219,0.000001,-0.000003,-0.000010,0.000019,-0.050845,0.016522,0.001793,0.341797
870,0.430229,0.056197,-1.141217,7.472158,13.396511,7.396727,-0.000004,0.000002,-0.000002,0.000011,-0.050235,0.015607,0.000992,0.341377
871,0.497045,0.078307,-1.105310,32.332203,32.634174,-6.719081,0.000001,0.000005,0.000000,-0.000004,-0.048862,0.014844,0.001297,1.249962
872,0.359214,0.051088,-1.190375,11.295001,29.060287,2.838702,0.000012,0.000018,-0.000003,-0.000009,-0.050388,0.017438,0.000839,1.249962
873,0.348158,0.055259,-1.244167,-8.902845,18.660074,8.844900,0.000021,0.000001,-0.000005,-0.000003,-0.051303,0.019421,0.001259,1.249962
874,0.347262,0.086194,-1.098350,15.932277,6.170062,7.949210,0.000019,-0.000014,-0.000004,-0.000004,-0.052219,0.017133,0.000839,1.249962
875,0.543202,0.050035,-1.188990,9.099434,11.651872,0.604224,0.000067,-0.000004,-0.000016,-0.000005,-0.050845,0.016980,0.001144,1.249962
876,0.452513,0.055423,-1.183949,4.651348,30.616825,4.918724,0.000028,0.000000,-0.000004,-0.000002,-0.055118,0.015912,0.000839,0.344086
877,0.493530,0.034548,-1.406346,14.291203,48.948246,0.985072,-0.000061,0.000003,0.000001,-0.000003,-0.051151,0.014691,0.002937,0.341492
878,0.492264,0.074236,-1.218595,5.477775,17.458469,10.353060,-0.000094,-0.000005,0.000002,0.000007,-0.051761,0.016064,0.000610,0.342178
879,0.526459,0.061006,-1.239193,17.535107,7.158235,4.898428,-0.000016,0.000002,0.000003,0.000005,-0.051456,0.016827,0.001221,0.346527
880,0.517712,0.014053,-1.167317,24.834097,6.974894,12.507320,0.000027,0.000006,0.000001,0.000004,-0.051608,0.015607,-0.000114,0.341682
