Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
0.07400000	0.26498123	0.02872186	0.07067920	0.49593957	0.33685156	0.04749117
0.07500000	0.26722728	0.02793076	0.07074784	0.48599839	0.33750960	0.04757602
0.07600000	0.26949219	0.02717320	0.07081489	0.47615068	0.33818217	0.04765284
0.07700000	0.27177630	0.02645111	0.07088077	0.46640952	0.33888063	0.04772143
0.07800000	0.27407989	0.02576627	0.07094581	0.45678703	0.33961623	0.04778162
0.07900000	0.27640324	0.02512033	0.07101029	0.44729449	0.34040011	0.04783325
0.08000000	0.27874658	0.02451479	0.07107439	0.43794229	0.34124322	0.04787618
0.08100000	0.28111014	0.02395100	0.07113828	0.42873993	0.34215630	0.04791030
0.08200000	0.28349413	0.02343018	0.07120201	0.41969610	0.34314983	0.04793550
0.08300000	0.28589874	0.02295338	0.07126561	0.41081864	0.34423399	0.04795172
0.08400000	0.28832416	0.02252152	0.07132902	0.40211460	0.34541860	0.04795892
0.08500000	0.29077059	0.02213537	0.07139213	0.39359023	0.34671312	0.04795711
0.08600000	0.29323821	0.02179555	0.07145478	0.38525102	0.34812660	0.04794631
0.08700000	0.29572722	0.02150253	0.07151675	0.37710172	0.34966762	0.04792661
0.08800000	0.29823782	0.02125663	0.07157775	0.36914634	0.35134428	0.04789811
0.08900000	0.30077022	0.02105805	0.07163747	0.36138823	0.35316417	0.04786097
0.09000000	0.30332462	0.02090682	0.07169554	0.35383004	0.35513432	0.04781538
0.09100000	0.30590125	0.02080286	0.07175155	0.34647379	0.35726119	0.04776157
0.09200000	0.30850033	0.02074591	0.07180503	0.33932089	0.35955063	0.04769982
0.09300000	0.31112209	0.02073562	0.07185551	0.33237214	0.36200787	0.04763045
0.09400000	0.31376676	0.02077148	0.07190247	0.32562779	0.36463751	0.04755381
0.09500000	0.31643458	0.02085287	0.07194535	0.31908756	0.36744343	0.04747031
0.09600000	0.31912577	0.02097903	0.07198360	0.31275065	0.37042889	0.04738038
0.09700000	0.32184055	0.02114908	0.07201663	0.30661579	0.37359641	0.04728448
0.09800000	0.32457912	0.02136203	0.07204383	0.30068124	0.37694782	0.04718311
0.09900000	0.32734167	0.02161679	0.07206459	0.29494486	0.38048421	0.04707681
