Toe y trajetcoriesendheader

time	leftToe	rightToe	leftCalf	rightCalf
1.61000000	160.86959839	172.60469055	291.93756104	178.82731628
1.62000000	161.15376282	171.00856018	305.78283691	179.01498413
1.63000000	160.66998291	169.81729126	318.65811157	178.96115112
1.64000000	160.97982788	169.22016907	331.13931274	178.52423096
1.65000000	163.07455444	168.08529663	343.33221436	177.74980164
1.66000000	168.17945862	166.97030640	355.58090210	177.32205200
1.67000000	175.14141846	167.80632019	367.84365845	177.68640137
1.68000000	182.69569397	168.05258179	378.91586304	177.78968811
1.69000000	190.34930420	167.48623657	388.00036621	177.58699036
1.70000000	196.27980042	166.91082764	394.83404541	177.61660767
1.71000000	200.62095642	166.38984680	399.70474243	177.38247681
1.72000000	205.67671204	166.04507446	402.34252930	176.97662354
1.73000000	210.15832520	165.74159241	403.50946045	176.80546570
1.74000000	213.22416687	165.52891541	403.14163208	176.72828674
1.75000000	215.27529907	165.20884705	400.87170410	176.90695190
1.76000000	218.75167847	164.51153564	396.92294312	177.46507263
1.77000000	221.62507629	164.66476440	391.27481079	177.92781067
1.78000000	222.84872437	164.47625732	384.55459595	178.19360352
1.79000000	221.63679504	163.59350586	376.86251831	178.37974548
1.80000000	218.12274170	162.90629578	367.64566040	178.59634399
1.81000000	213.66490173	162.58940125	356.92700195	178.69107056
1.82000000	209.11154175	162.36602783	345.55407715	179.00035095
1.83000000	205.51443481	162.26570129	333.00222778	178.63217163
1.84000000	202.95446777	162.56614685	319.31112671	177.72557068
1.85000000	201.85321045	163.04074097	304.65841675	177.79003906
1.86000000	200.18032837	162.73231506	288.81466675	179.35743713
1.87000000	196.24980164	162.23371887	273.28256226	181.13900757
1.88000000	191.51913452	161.77307129	258.67272949	182.24118042
1.89000000	187.37176514	161.00767517	244.43041992	182.69149780
1.90000000	184.67935181	160.36346436	230.52604675	183.03939819
1.91000000	184.00823975	159.76673889	217.57907104	183.72352600
1.92000000	184.87062073	159.47315979	206.66804504	184.71932983
1.93000000	187.73706055	159.28323364	196.00128174	185.65733337
1.94000000	191.84989929	159.05500793	185.52687073	186.49653625
1.95000000	198.56361389	158.55691528	177.08699036	187.29830933
1.96000000	206.43092346	158.21002197	171.13392639	188.33956909
1.97000000	215.09445190	157.73619080	167.78434753	189.64830017
1.98000000	224.25090027	157.67349243	166.94726562	191.00122070
1.99000000	233.06709290	157.36329651	167.06838989	192.61853027
2.00000000	240.48971558	157.12397766	167.52462769	194.50337219
2.01000000	246.35658264	157.04003906	168.47825623	196.51832581
2.02000000	250.54624939	156.87786865	169.96228027	198.53079224
2.03000000	252.84996033	156.58070374	171.37217712	200.86236572
2.04000000	252.98361206	155.99298096	171.04464722	203.92442322
2.05000000	250.64656067	155.54649353	168.69932556	207.30027771
2.06000000	245.12425232	155.25473022	165.49905396	211.03106689
2.07000000	237.77976990	155.41296387	162.08987427	215.02267456
2.08000000	229.48374939	156.34104919	157.87615967	219.35307312
2.09000000	219.30679321	157.04481506	153.05773926	224.23112488
2.10000000	208.12596130	156.69204712	151.17086792	229.77572632
2.11000000	198.39842224	156.34826660	154.05972290	235.79348755
2.12000000	193.35484314	156.16064453	159.06126404	242.64649963
2.13000000	192.21064758	155.99653625	162.49603271	250.33305359
2.14000000	186.96441650	156.42860413	163.60165405	258.89819336
2.15000000	177.51951599	157.29614258	164.12951660	268.35433960
2.16000000	172.05958557	157.75717163	164.60375977	278.52096558
2.17000000	170.10458374	157.76692200	165.37738037	289.24670410
2.18000000	169.37457275	158.50416565	166.28480530	300.54806519
2.19000000	169.60449219	159.61688232	166.83326721	312.05688477
2.20000000	169.18435669	160.43698120	166.73553467	323.13613892
2.21000000	168.40412903	161.14698792	166.63775635	333.01275635
2.22000000	167.72604370	162.20686340	166.38732910	341.53472900
2.23000000	167.07594299	164.95103455	165.81774902	349.44155884
2.24000000	167.05105591	169.34095764	165.38639832	357.74758911
2.25000000	167.07003784	175.26443481	165.33079529	366.31207275
2.26000000	167.29319763	181.94105530	165.43457031	373.15859985
2.27000000	167.14804077	187.22100830	165.27093506	377.17956543
2.28000000	166.90870667	190.55589294	165.16375732	378.94128418
2.29000000	166.79127502	193.31173706	165.02561951	379.37255859
2.30000000	166.22695923	195.13537598	164.36279297	378.39349365
2.31000000	165.62835693	196.68038940	163.71640015	375.61123657
2.32000000	165.18635559	198.31951904	163.46990967	371.27197266
2.33000000	165.51615906	199.85011292	163.17254639	365.74453735
2.34000000	165.89602661	200.29212952	162.60847473	359.26507568
2.35000000	166.41995239	199.81321716	162.28460693	351.76596069
2.36000000	166.04370117	198.31053162	162.51631165	343.33193970
2.37000000	164.44697571	195.90220642	162.89320374	334.16525269
2.38000000	163.80485535	193.37843323	163.34074402	324.40548706
2.39000000	164.48654175	192.56677246	163.95321655	314.14495850
2.40000000	164.79095459	191.47531128	163.95153809	302.97109985
2.41000000	164.61694336	189.52731323	163.98626709	290.86886597
2.42000000	164.97644043	187.23612976	164.53973389	279.12374878
2.43000000	165.00695801	186.04125977	165.13937378	268.50506592
2.44000000	165.10668945	185.21080017	165.55018616	258.72299194
2.45000000	165.38603210	184.51553345	165.69091797	249.26452637
2.46000000	165.62854004	185.55181885	165.34681702	239.79441833
2.47000000	165.27339172	187.30628967	165.19927979	231.13923645
2.48000000	164.91914368	188.41578674	165.30276489	223.47059631
2.49000000	164.67198181	190.46250916	165.13644409	216.09974670
2.50000000	165.67663574	192.57196045	165.16065979	209.11050415
2.51000000	166.19027710	194.78517151	165.28808594	202.88034058
2.52000000	166.04022217	198.81330872	165.50782776	197.80068970
2.53000000	165.85302734	203.70419312	166.29277039	193.77999878
2.54000000	164.16635132	208.69645691	167.20997620	190.79516602
2.55000000	162.30586243	214.07299805	167.76309204	188.74850464
2.56000000	162.02014160	220.13108826	168.29110718	187.30503845
2.57000000	162.35231018	225.61364746	169.03157043	186.37762451
2.58000000	162.21339417	230.47253418	169.93675232	186.32020569
2.59000000	161.70365906	236.13337708	171.39176941	186.71717834
2.60000000	161.42184448	241.87332153	172.99960327	186.88414001
2.61000000	161.18818665	246.87767029	174.68348694	186.76191711
2.62000000	160.77215576	250.45394897	176.73260498	186.19621277
2.63000000	160.03144836	252.26487732	179.09973145	185.12191772
2.64000000	159.10601807	251.73829651	181.71473694	183.79385376
2.65000000	158.42633057	248.85063171	184.70549011	182.20573425
2.66000000	158.68731689	243.76670837	188.15638733	180.35917664
2.67000000	158.87519836	236.75770569	192.02462769	178.18777466
2.68000000	159.08622742	228.78649902	196.45265198	175.20738220
2.69000000	158.78932190	219.43193054	201.29417419	171.78958130
2.70000000	157.87982178	209.31399536	206.55288696	169.98689270
2.71000000	158.11679077	199.82524109	212.81724548	172.03329468
2.72000000	158.31518555	193.30300903	220.26785278	175.42703247
2.73000000	158.70874023	189.31427002	228.75596619	177.08258057
2.74000000	158.83357239	184.54362488	238.14273071	177.18290710
2.75000000	158.96748352	179.74012756	248.69540405	177.12066650
2.76000000	159.11386108	176.74023438	260.65423584	177.33857727
2.77000000	159.50148010	174.88992310	273.34747314	177.90013123
2.78000000	160.25942993	173.36999512	286.79864502	178.39430237
2.79000000	161.22694397	172.17674255	300.50549316	178.53556824
2.80000000	161.29144287	170.58930969	313.31448364	178.63269043
2.81000000	160.40669250	169.57873535	325.17630005	178.53419495
2.82000000	161.38598633	168.94651794	336.88208008	178.19758606
2.83000000	165.17826843	168.93827820	348.52996826	177.74310303
2.84000000	171.36962891	168.42834473	360.23870850	177.69137573
2.85000000	178.29806519	167.68490601	372.05395508	177.69145203
2.86000000	185.09065247	166.99211121	382.76934814	177.68339539
2.87000000	192.59886169	166.22151184	391.44357300	178.01470947
2.88000000	198.32539368	165.63256836	397.64303589	178.26603699
2.89000000	202.37150574	165.87480164	401.76867676	177.97879028
2.90000000	207.17285156	165.45800781	403.97137451	177.47901917
2.91000000	211.49296570	164.80751038	404.62707520	177.03558350
